TEAM,NYJ,TEN,CAR,NE,DEN,MIN,CHI,SEA,WAS,GB,MIA,TB,ARI,HOU,STL,DAL,SD,BUF,PIT,JAC,ATL,CIN,DET,PHI,BAL,OAK,KC,NYG,IND,CLE,SF,NO
YDS,1121,1134,1356,1370,1390,1431,1523,1534,1570,1582,1598,1614,1662,1699,1744,1747,1756,1781,1790,1815,1832,1856,1877,1882,1893,1912,1916,1924,1994,2002,2034,2045
YDSG,280.3,283.5,339,342.5,278,357.8,304.6,306.8,314,316.4,399.5,322.8,332.4,339.8,348.8,349.4,351.2,356.2,358,363,366.4,371.2,375.4,376.4,378.6,382.4,383.2,384.8,398.8,400.4,406.8,409
PASS,742,666,988,919,964,929,929,1071,1082,931,956,1012,1176,1128,1177,1271,1094,1370,1285,1300,1440,1313,1244,1398,1391,1496,1423,1521,1434,1255,1494,1366
PYDSG,185.5,166.5,247,229.8,192.8,232.3,185.8,214.2,216.4,186.2,239,202.4,235.2,225.6,235.4,254.2,218.8,274,257,260,288,262.6,248.8,279.6,278.2,299.2,284.6,304.2,286.8,251,298.8,273.2
RUSH,379,468,368,451,426,502,594,463,488,651,642,602,486,571,567,476,662,411,505,515,392,543,633,484,502,416,493,403,560,747,540,679
RYDSG,94.8,117,92,112.8,85.2,125.5,118.8,92.6,97.6,130.2,160.5,120.4,97.2,114.2,113.4,95.2,132.4,82.2,101,103,78.4,108.6,126.6,96.8,100.4,83.2,98.6,80.6,112,149.4,108,135.8
PTS,55,91,71,76,79,73,142,98,104,81,101,148,90,135,113,131,134,105,95,145,112,101,138,103,137,124,143,109,113,132,140,143
PTSG,13.8,22.8,17.8,19,15.8,18.3,28.4,19.6,20.8,16.2,25.3,29.6,18,27,22.6,26.2,26.8,21,19,29,22.4,20.2,27.6,20.6,27.4,24.8,28.6,21.8,22.6,26.4,28,28.6
